 Diffraction intensities for potential:3x3MoS210001.in                         
#      1    -3       4.3730563227E-004
#      1    -2       3.2284076141E-004
#      1    -1       4.1393420588E-003
#      1     0       5.2811935094E-003
#      1     1       5.1941777239E-004
#      1     2       5.2659439679E-004
#      1     3       2.1138801740E-003
#      1     4       3.4431238581E-004
#      1     5       7.0968487619E-004
#      2   -16       1.6103399023E-004
#      2   -15       5.6279720095E-004
#      2   -14       1.7496079138E-004
#      2   -13       2.3380134581E-004
#      2   -12       5.8934060562E-004
#      2   -11       2.7652493026E-004
#      2   -10       5.3975365194E-004
#      2    -9       6.5638147738E-004
#      2    -8       3.9838155590E-004
#      2    -7       8.0213475810E-004
#      2    -6       1.6939749523E-003
#      2    -5       1.9168497969E-003
#      2    -4       1.2263385252E-003
#      2    -3       8.0972813691E-004
#      2    -2       4.5124794750E-004
#      2    -1       5.1936945390E-004
#      2     0       7.3103498219E-004
#      2     1       2.5614943346E-003
#      2     2       2.7617603532E-003
#      2     3       2.6936681230E-004
#      3   -15       2.4177604632E-003
#      3   -14       5.3795047455E-004
#      3   -13       2.3984066995E-004
#      3   -12       7.3421662307E-004
#      3   -11       3.2138867026E-004
#      3   -10       2.7512570804E-005
#      3    -9       2.2947915015E-002
#      3    -8       1.0074922612E-004
#      3    -7       1.5528618058E-003
#      3    -6       5.2701773238E-002
#      3    -5       1.8852998489E-003
#      3    -4       3.3536110262E-004
#      3    -3       7.8147549199E-003
#      3    -2       5.2665865299E-004
#      3    -1       2.5615191476E-003
#      3     0       6.7671913300E-002
#      3     1       1.9111694694E-003
#      3     2       8.2680226191E-004
#      4   -14       7.0633801013E-004
#      4   -13       4.0614045850E-004
#      4   -12       4.3173459560E-005
#      4   -11       6.4263727046E-004
#      4   -10       6.6198766741E-004
#      4    -9       4.0888003543E-004
#      4    -8       1.4653431130E-004
#      4    -7       2.8822161829E-003
#      4    -6       2.0585948985E-003
#      4    -5       5.5197676389E-004
#      4    -4       1.1654912376E-003
#      4    -3       2.1139950486E-003
#      4    -2       2.7618614104E-003
#      4    -1       1.9111601927E-003
#      4     0       4.2329631919E-003
#      5   -13       2.1321718518E-003
#      5   -12       8.4847755817E-004
#      5   -11       5.2811198263E-004
#      5   -10       1.9260054631E-003
#      5    -9       2.5354535764E-003
#      5    -8       6.8064658700E-005
#      5    -7       7.8531828801E-004
#      5    -6       1.9243136853E-003
#      5    -5       2.0126433833E-004
#      5    -4       3.4434053394E-004
#      5    -3       2.6935863593E-004
#      5    -2       8.2682012260E-004
#      6   -11       1.2578419022E-003
#      6   -10       1.5669420601E-003
#      6    -9       2.1865191482E-002
#      6    -8       1.8718238858E-004
#      6    -7       9.1788729688E-004
#      6    -6       1.3852328730E-002
#      6    -5       7.0969199208E-004
